chrom	start	stop	clusterID
chr1	29165	29483	1
chr1	631742	632021	2
chr1	827602	827801	3
chr1	908934	910323	4
chr1	924436	924738	5
chr1	925283	926008	6
chr1	940912	941650	7
chr1	943665	944159	8
chr1	951039	951271	9
chr1	960759	961044	10
chr1	966263	966435	11
chr1	998114	998885	12
chr1	1001230	1001965	13
chr1	1020267	1020384	14
chr1	1020547	1020946	15
chr1	1040727	1041323	16
chr1	1043584	1044445	17
chr1	1059533	1059909	18
chr1	1060424	1061445	19
chr1	1072196	1072903	20
chr1	1084460	1085066	21
chr1	1085617	1086373	22
chr1	1087867	1088263	23
chr1	1088827	1089152	24
chr1	1092192	1092408	25
chr1	1115171	1115395	26
chr1	1116154	1116349	27
chr1	1116383	1116838	28
chr1	1130487	1131036	29
chr1	1157832	1158800	30
chr1	1161730	1162002	31
chr1	1164855	1165274	32
chr1	1167006	1167087	33
chr1	1167775	1168182	34
chr1	1168694	1169780	35
chr1	1173440	1173764	36
chr1	1173773	1174291	37
chr1	1179496	1179689	38
chr1	1179703	1180293	39
chr1	1182093	1182462	40
chr1	1182696	1183481	41
chr1	1197458	1197691	42
chr1	1197798	1198287	43
chr1	1206484	1206724	44
chr1	1206743	1206910	45
chr1	1209278	1210389	46
chr1	1222142	1222365	47
chr1	1223488	1224371	48
chr1	1231892	1232134	49
chr1	1237708	1238363	50
chr1	1242513	1242820	51
chr1	1246423	1247682	52
chr1	1267619	1268100	53
chr1	1274239	1274383	54
chr1	1281274	1281816	55
chr1	1293559	1294033	56
chr1	1302847	1303416	57
chr1	1307467	1307640	58
chr1	1308123	1308539	59
chr1	1309564	1309997	60
chr1	1324403	1324688	61
chr1	1331719	1332188	62
chr1	1336491	1337181	63
chr1	1337945	1338787	64
chr1	1348602	1349102	65
chr1	1375033	1375471	66
chr1	1387021	1387833	67
chr1	1398480	1399237	68
chr1	1406894	1407513	69
chr1	1407527	1407847	70
chr1	1422492	1423136	71
chr1	1434213	1434464	72
chr1	1454604	1455894	73
chr1	1460471	1460986	74
chr1	1471649	1472001	75
